name,POS,Team,Games,Min,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
Miles Bridges,"SF,PF",CHA,77,28.4,0.5,4.5,9.1,0.884,1.5,1.6,1.7,12.3,5.8,2.1,0.6,0.8,1.6
Reggie Jackson,"PG,SG",LAC,75,30.2,0.441,5.6,12.6,0.831,1.4,1.7,2.6,15.2,4.1,5.1,0.9,0.1,1.6
Nerlens Noel,"PF,C",NYK,70,23.1,0.599,2.0,3.3,0.7240000000000001,0.8,1.1,0.0,4.8,6.1,0.7,1.1,2.0,1.0
Saddiq Bey,SF,DET,76,33.5,0.422,5.2,12.3,0.855,2.2,2.6,3.1,15.8,5.6,1.8,0.9,0.3,1.1
Jalen Suggs,"PG,SG",ORL,73,31.2,0.441,6.0,13.6,0.753,1.9,2.5,1.4,15.3,4.3,5.4,1.4,0.3,2.9
Andrew Wiggins,"SG,SF",GSW,75,32.1,0.476,6.8,14.3,0.706,2.3,3.3,1.9,17.9,4.7,2.3,0.9,1.0,1.7
De'Andre Hunter,"SF,PF",ATL,70,29.4,0.476,5.2,10.8,0.8640000000000001,3.2,3.7,1.4,14.9,4.8,1.9,0.8,0.5,1.3
Mason Plumlee,"PF,C",CHA,68,28.1,0.616,4.1,6.6,0.66,1.9,2.9,0.0,10.0,9.0,3.5,0.8,0.9,1.8
Keldon Johnson,"SF,PF",SAS,74,31.2,0.474,6.4,13.4,0.7490000000000001,2.3,3.1,1.4,16.4,6.5,2.2,1.0,0.4,1.2
Evan Mobley,C,CLE,73,28.5,0.475,4.8,10.0,0.706,2.0,2.8,0.6,12.1,7.5,1.9,0.7,1.7,2.0
Jordan Clarkson,"PG,SG",UTA,74,26.7,0.424,6.7,15.7,0.904,1.9,2.1,3.1,18.3,4.0,2.5,0.9,0.1,1.7
Bobby Portis,"PF,C",MIL,75,25.2,0.516,5.2,10.0,0.7440000000000001,0.9,1.2,1.2,12.5,7.8,1.2,0.9,0.4,0.9
Joe Ingles,"SG,SF",UTA,74,27.1,0.488,4.0,8.2,0.8490000000000001,1.1,1.3,2.6,11.8,3.5,4.7,0.7,0.2,1.7
Chuma Okeke,PF,ORL,68,30.1,0.4320000000000001,4.0,9.2,0.769,0.9,1.2,1.4,10.3,5.1,2.8,1.4,0.6,1.0
Joe Harris,"SG,SF",BKN,78,31.2,0.505,5.2,10.3,0.778,0.7,0.9,3.1,14.3,3.6,1.9,0.7,0.2,0.9
Klay Thompson,"SG,SF",GSW,45,26.8,0.46,6.7,14.6,0.816,1.3,1.6,2.8,17.5,3.0,1.8,0.8,0.5,1.1
Daniel Gafford,C,WAS,69,20.2,0.691,3.9,5.7,0.652,1.8,2.7,0.0,9.6,5.7,0.7,0.7,1.8,1.1
Jae'Sean Tate,"SF,PF",HOU,76,30.1,0.506,4.6,9.2,0.718,1.6,2.2,0.9,11.7,5.5,2.6,1.2,0.5,1.4
De'Anthony Melton,"PG,SG",MEM,70,22.8,0.434,3.7,8.6,0.7959999999999999,0.9,1.1,1.9,10.3,3.5,2.8,1.2,0.7,1.5
Danny Green,"SG,SF",PHI,74,28.2,0.417,3.3,7.9,0.833,0.5,0.6,2.4,9.5,3.8,1.7,1.2,0.7,1.0
Ivica Zubac,C,LAC,79,22.9,0.655,3.9,5.9,0.79,2.0,2.6,0.0,9.8,7.7,1.4,0.3,1.0,1.2
Khem Birch,"PF,C",TOR,74,29.8,0.499,3.8,7.7,0.715,1.8,2.6,0.3,9.8,7.6,1.7,0.9,1.2,0.9
Wendell Carter Jr.,C,ORL,67,28.8,0.507,4.7,9.3,0.725,2.6,3.6,0.3,12.4,9.0,2.1,0.7,0.9,1.5
Mo Bamba,C,ORL,68,22.5,0.476,3.7,7.8,0.708,1.2,1.7,1.0,9.6,7.0,1.0,0.4,1.8,1.0
Dennis Schroder,PG,BOS,74,29.4,0.4320000000000001,5.0,11.5,0.85,3.1,3.7,1.1,14.1,3.2,5.3,1.0,0.2,2.5
Devonte' Graham,"PG,SG",NOP,70,30.0,0.377,4.6,12.1,0.826,2.4,2.9,3.2,14.7,2.7,5.4,0.9,0.1,1.5
Al Horford,"PF,C",BOS,68,24.8,0.459,4.1,8.9,0.818,0.9,1.1,1.3,10.3,5.4,3.0,0.7,0.7,0.8
